rank,elpd_diff,dse,p_worse,diag_diff,diag_elpd,p,elpd,se,weight,participant_id
0,0.0,0.0,,,2 k̂ > 0.70,1.3035975112851657,-21.251360625802363,3.7860364801678608,0.7662451253614367,sub-0019
1,-1.144054360640311,1.298958497658709,0.8107727309453054,N < 100,1 k̂ > 0.70,1.4715224179956534,-22.395414986442677,3.8033136071677975,0.0,sub-0019
2,-1.2516000818642539,0.7097176479824764,0.961093445793755,N < 100,,2.2357520117813383,-22.502960707666624,3.9707593020761798,0.0,sub-0019
3,-3.736845241546792,4.006696471419254,0.8244996313892115,N < 100,4 k̂ > 0.70,3.604201010786986,-24.98820586734916,5.699465341587009,0.2337548746385664,sub-0019
0,0.0,0.0,,,6 k̂ > 0.70,1.9094620040855754,-14.394048426259461,4.163673753993996,0.9999999999999878,sub-0022
1,-0.49148649652594933,0.4337704980503923,0.8714047432318222,N < 100,6 k̂ > 0.70,1.8394886559324672,-14.88553492278541,3.991577525423852,1.8596235662471372e-15,sub-0022
2,-3.7518272359621765,2.037990480922428,0.967185149145537,N < 100,6 k̂ > 0.70,1.6384803286449459,-18.145875662221634,3.879694787945363,0.0,sub-0022
3,-6.265282766743439,1.3504931999334584,0.9999982516657824,N < 100,2 k̂ > 0.70,1.5020298668745422,-20.6593311930029,3.506631656082984,2.036912305491967e-14,sub-0022
0,0.0,0.0,,,3 k̂ > 0.70,1.8752638774058337,-13.90884054741587,3.961763723163484,0.7612621440935647,sub-0023
1,-0.5243142902156492,1.440775976591509,0.6420377814126487,N < 100,3 k̂ > 0.70,1.4127648950505933,-14.43315483763152,3.9803884383031196,0.2387378559064373,sub-0023
2,-1.8795851047322465,1.5522521736102002,0.8870285588992314,N < 100,3 k̂ > 0.70,2.123263046980254,-15.788425652148117,4.535949504485831,7.117337562946404e-17,sub-0023
3,-6.229514691866122,2.1502080015167078,0.9981172621831752,N < 100,,1.8186964958168308,-20.138355239281992,4.548989921433682,0.0,sub-0023
0,0.0,0.0,,,,1.8179810830539507,-30.657986809477237,3.441025407553523,0.9999999999999982,sub-0024
1,-0.8580251730528126,1.2506617582965645,0.7536613970575115,N < 100,,2.4149183668346828,-31.51601198253005,4.468988088844342,0.0,sub-0024
2,-2.8696964065860495,0.8992376675525448,0.9992917182172232,N < 100,1 k̂ > 0.70,1.8469386191475932,-33.52768321606328,3.325658106561334,8.102914004573791e-16,sub-0024
3,-5.985138368661486,1.5799350077808672,0.9999241341824798,N < 100,,1.2811052012252229,-36.64312517813872,3.2667163489410393,1.2602766052971504e-15,sub-0024
0,0.0,0.0,,,4 k̂ > 0.70,1.0430917092622578,-21.8909929577448,2.9108881194804823,0.0,sub-0025
1,-0.40039807608845024,1.6965523525806074,0.593286345367005,N < 100,7 k̂ > 0.70,2.27705922098104,-22.291391033833246,4.279377230508242,0.6655402377922884,sub-0025
2,-1.19081403295195,2.295948443480758,0.6980006769874904,N < 100,1 k̂ > 0.70,1.5164174905870738,-23.081806990696748,2.7782487229928683,0.3344597622077078,sub-0025
3,-5.742067352828595,1.706950234613644,0.9996157999464068,N < 100,,1.324951419082463,-27.6330603105734,3.0253442314258345,6.347719116832351e-15,sub-0025
0,0.0,0.0,,,7 k̂ > 0.70,2.194677710507535,-16.145745416227925,5.270909291338992,0.7519782009308892,sub-0026
1,-0.7968983736377,2.0797712625157674,0.6492017886299357,N < 100,,1.5421143708150524,-16.942643789865627,3.887060048426376,0.24802179906909272,sub-0026
2,-4.374579085453736,2.2841909993199594,0.9722636099884259,N < 100,,2.6571054644192817,-20.520324501681664,4.2502291667273,6.50830425940792e-16,sub-0026
3,-8.73337518950206,2.8006023500799118,0.9990907952864254,N < 100,,2.0157123641878067,-24.87912060572999,4.53668593337811,1.7328749112727193e-14,sub-0026
0,0.0,0.0,,,,2.0937376895624396,-23.9206429676804,4.438358499576369,1.0,sub-0027
1,-1.3065760636928294,1.072668422313181,0.888399690791468,N < 100,1 k̂ > 0.70,2.951259358076513,-25.227219031373235,5.0599456788150965,2.858824288409778e-15,sub-0027
2,-3.4765851666216623,2.3533636437520333,0.9302001640001607,N < 100,,2.2040245474333586,-27.39722813430207,4.221774129756341,0.0,sub-0027
3,-3.803673546176718,2.242651702059652,0.9550628128682549,N < 100,,1.8871939585796638,-27.724316513857126,4.048390284922365,0.0,sub-0027
0,0.0,0.0,,,,1.1318476725312152,-19.928628304474422,3.6033930070135343,0.9999999999999991,sub-0028
1,-2.777798946618521,0.7945556266178436,0.9997638918193081,N < 100,,2.1779712614515634,-22.706427251092947,4.162300780778276,6.661338147750939e-16,sub-0028
2,-3.5823591649899145,2.175729548850072,0.9501705373190249,N < 100,1 k̂ > 0.70,3.347195168884662,-23.510987469464343,5.533625363144168,0.0,sub-0028
3,-3.8653350363580827,1.1705538351661797,0.9995202526663849,N < 100,,1.4694349057084706,-23.793963340832505,4.1098393595484985,7.216449660063518e-16,sub-0028
0,0.0,0.0,,,1 k̂ > 0.70,1.4530127018850636,-22.86170667739988,3.9298628050596323,0.6218560837260279,sub-0031
1,-0.442341310886615,2.0608154631373288,0.5849774880906506,N < 100,1 k̂ > 0.70,1.6129836825393853,-23.304047988286495,3.7053909478687155,0.3781439162739719,sub-0031
2,-0.9097466712002822,1.1846424351955862,0.7787416833676434,N < 100,3 k̂ > 0.70,2.2448195210649544,-23.77145334860016,4.27043195300047,2.6279460765717105e-16,sub-0031
3,-2.381495474875601,2.273754447147146,0.8525388926482689,N < 100,,1.756517103492649,-25.243202152275472,4.259860262311727,0.0,sub-0031
0,0.0,0.0,,,4 k̂ > 0.70,2.659058292803457,-18.430735481941046,4.985497147174427,0.9363461384702215,sub-0032
1,-6.4627448173077635,3.0041778735921834,0.9842718578725012,N < 100,,1.3235553888353202,-24.893480299248807,4.001116958465592,0.0,sub-0032
2,-7.173631316973948,3.5057812565414967,0.9796330778961491,N < 100,,2.2524789193338473,-25.604366798914988,4.136597262855663,0.06365386152978193,sub-0032
3,-7.488793554187529,3.171380338336337,0.9908961544041993,N < 100,,1.8168503040185318,-25.919529036128573,3.876568190867589,0.0,sub-0032
0,0.0,0.0,,,,1.7053517044094102,-25.5282657002779,3.6316322431063046,0.8871375171837936,sub-0034
1,-0.9427128664295292,0.9538405797801847,0.8385053967248242,N < 100,,2.2807862761116517,-26.470978566707423,3.6327294507142422,0.0,sub-0034
2,-1.4030117102974273,1.3938411378117257,0.8429315196512758,N < 100,,2.1876599944729023,-26.931277410575323,3.5246468959777033,0.0,sub-0034
3,-1.4267516952450094,2.032909263505685,0.7586066372820774,N < 100,1 k̂ > 0.70,2.6792079308551786,-26.95501739552291,4.5904054002532275,0.11286248281620641,sub-0034
0,0.0,0.0,,,,2.157771719481997,-19.888561465039494,4.149511525065021,0.5626658650281909,sub-0035
1,-0.41471927878442116,2.3811124462323034,0.5691342216384828,N < 100,,1.3283205304361243,-20.303280743823912,3.9056018387441243,0.42497593774971726,sub-0035
2,-0.5294033969385499,1.6642754893146336,0.624794857436063,N < 100,2 k̂ > 0.70,2.378009102669176,-20.417964861978042,4.562021024500526,6.972981534002693e-17,sub-0035
3,-0.7768320888746825,1.7088969884029421,0.6752946440707928,N < 100,,1.5017963474605962,-20.66539355391418,4.170851724965004,0.012358197222091766,sub-0035
0,0.0,0.0,,,1 k̂ > 0.70,1.5765784923879649,-17.805274608787066,4.280867027339844,1.0,sub-0037
1,-1.5421612279321124,0.8761609686586078,0.9608075054683898,N < 100,9 k̂ > 0.70,2.636009387272468,-19.34743583671918,4.7524507507711915,1.915134717478395e-15,sub-0037
2,-3.276165754872758,1.8903900479710678,0.9584577973356727,N < 100,2 k̂ > 0.70,3.079399785168659,-21.081440363659823,5.795402625340409,2.1094237467877974e-15,sub-0037
3,-9.86138304383071,3.8314855590995656,0.9949702215171773,N < 100,,2.0685119227868327,-27.666657652617776,4.461318567374678,0.0,sub-0037
0,0.0,0.0,,,3 k̂ > 0.70,1.866034684751432,-21.534642206871155,3.8099479428415846,0.6704361705637845,sub-0038
1,-0.9143764657694646,2.3221056647705876,0.653124718376099,N < 100,3 k̂ > 0.70,1.2381687731203963,-22.449018672640616,3.335280149399182,4.4253848729049986e-16,sub-0038
2,-1.012580585878185,2.5673993023395583,0.6533568838619795,N < 100,3 k̂ > 0.70,1.8533262268563806,-22.547222792749338,4.064636263621877,0.3295638294362151,sub-0038
3,-4.644433673983107,3.001313167931716,0.9391246856842648,N < 100,,1.4920886150296446,-26.179075880854256,3.388624146598344,0.0,sub-0038
0,0.0,0.0,,,,2.7458654922003833,-26.447758295230244,5.7757278730920865,0.568574911269296,sub-0039
1,-0.1904973571483577,0.833424518627577,0.5903991345410171,N < 100,,2.6695629414039317,-26.638255652378604,5.506796147553138,0.27340019747508104,sub-0039
2,-1.3950461221026238,2.0234142406682687,0.7547304294999351,N < 100,,3.5169695522760445,-27.842804417332875,7.0559516428730555,0.15802489125562297,sub-0039
3,-2.242255894387746,1.7274757103496199,0.9028555788410635,N < 100,1 k̂ > 0.70,2.977002845363815,-28.690014189617997,5.30587418982695,1.7780915628762273e-17,sub-0039
0,0.0,0.0,,,3 k̂ > 0.70,1.0393875767044918,-16.056395196034146,3.2708192722829126,0.7987784740724232,sub-0042
1,-0.4246211970749538,1.2186947565476722,0.6362387075337586,N < 100,4 k̂ > 0.70,1.89514507505875,-16.481016393109098,3.8028908317274794,0.2012215259275622,sub-0042
2,-3.5120485807524098,0.8356961748403302,0.9999868033085063,N < 100,,1.5357492196363498,-19.568443776786555,3.6946993462136537,1.708798594530284e-14,sub-0042
3,-4.56830929095505,2.9737515151546847,0.9377566599628442,N < 100,,1.4240368620124695,-20.624704486989195,3.8610251205208903,0.0,sub-0042
0,0.0,0.0,,,,2.1003633375886843,-25.79898054282942,4.489355950232728,0.31866992157620433,sub-0044
1,-0.29817853829158825,0.8887482661670778,0.6313775106217305,N < 100,,2.4008527484217925,-26.097159081121006,5.163977569130887,0.49522463012311024,sub-0044
2,-1.720876336977061,2.172392765531832,0.785865458135184,N < 100,,1.8898385507613917,-27.519856879806483,4.131207366697295,0.1861054483006854,sub-0044
3,-1.79698575080634,1.3798147746923004,0.9035996330137677,N < 100,,2.834916452021111,-27.595966293635758,4.143153852435972,1.9786689647860456e-17,sub-0044
0,0.0,0.0,,,2 k̂ > 0.70,1.574145473404461,-19.93788728877697,3.951698068070058,0.41657561902336127,sub-0045
1,-0.3868679323565267,2.612861110543053,0.5588534569051339,N < 100,2 k̂ > 0.70,1.6857222588298553,-20.324755221133493,4.253909529251943,0.5235884032281187,sub-0045
2,-0.7891062332865211,1.9396635051540214,0.657932235664414,N < 100,2 k̂ > 0.70,2.2984104946891692,-20.726993522063495,4.1035760616495685,1.1243962048456408e-15,sub-0045
3,-1.4928232275733926,1.9829256499275403,0.774226584918142,N < 100,6 k̂ > 0.70,2.524874974211816,-21.430710516350366,4.6783602512885105,0.05983597774851898,sub-0045
0,0.0,0.0,,,6 k̂ > 0.70,1.5345353251312621,-14.650886796640467,3.500319557239455,0.9576381951775575,sub-0046
1,-3.5251513685193316,2.4561309023933062,0.924391455485564,N < 100,2 k̂ > 0.70,0.7403394835799145,-18.176038165159802,2.737448406373229,0.04236180482240436,sub-0046
2,-5.220422544983831,1.8949374032036606,0.9970647778379623,N < 100,,0.7397341926996709,-19.871309341624297,1.99846413640549,2.163826136936721e-15,sub-0046
3,-12.116367006341925,2.1776689310362998,0.9999999868106519,N < 100,,1.131736571713452,-26.76725380298239,2.877746175394866,3.6065200534204896e-14,sub-0046
0,0.0,0.0,,,,1.1412992262066621,-34.740858519111605,2.9137609911458315,0.9999999999999999,sub-0047
1,-0.6024542720396475,0.12407015061442689,0.9999994003558885,N < 100,,1.4645264390470663,-35.343312791151256,2.921713812947329,5.551115123125783e-16,sub-0047
2,-0.9331739500037664,1.0511618695434095,0.8126636577714861,N < 100,,1.2224796028890075,-35.674032469115375,3.4564948173462255,0.0,sub-0047
3,-1.494681957312375,1.1710974618884897,0.8990768038104658,N < 100,,1.2637356282566268,-36.23554047642398,3.398508592543255,0.0,sub-0047
0,0.0,0.0,,,6 k̂ > 0.70,1.5591757904489802,-18.680342572003493,4.1238645882271685,0.9999999999999997,sub-0049
1,-1.0955235863718311,1.0379374642659243,0.8543973717329498,N < 100,3 k̂ > 0.70,1.108937413754903,-19.775866158375322,3.427853127141249,0.0,sub-0049
2,-2.2208531467545463,1.5960472823519019,0.9179586418742195,N < 100,2 k̂ > 0.70,1.0663282975373778,-20.90119571875804,3.177286457592374,0.0,sub-0049
3,-4.778646878381971,1.395553908269463,0.9996916867187865,N < 100,,1.7688339082771933,-23.45898945038546,4.123516267731907,6.661338147750939e-16,sub-0049
0,0.0,0.0,,,5 k̂ > 0.70,1.3646409785196327,-22.432289686590295,3.359595488551719,0.9615341681006558,sub-0050
1,-2.1091205799644595,1.1207772465650796,0.9700709543959158,N < 100,,1.035813980356758,-24.541410266554756,2.595168562858664,8.860652803389581e-16,sub-0050
2,-2.6201917510218795,2.315619153997616,0.8710838862535517,N < 100,1 k̂ > 0.70,1.577561974923066,-25.052481437612172,3.0582452046113864,0.03846583189934278,sub-0050
3,-2.8828366304806075,1.2644941993814525,0.9886912265833331,N < 100,,0.9996192605617918,-25.315126317070902,2.599249087855964,5.609222030319929e-16,sub-0050
0,0.0,0.0,,,5 k̂ > 0.70,1.378355566728922,-13.47927429371301,3.716399366747584,0.8364548382687045,sub-0052
1,-0.6704867033694057,0.7799760321920142,0.8050020369102648,N < 100,5 k̂ > 0.70,2.1818751227984765,-14.149760997082415,4.011458174420374,0.0,sub-0052
2,-5.078632421862206,4.265590651974493,0.8830956037680825,N < 100,2 k̂ > 0.70,1.7155670070157938,-18.55790671557522,4.2710856882456385,0.16354516173129544,sub-0052
3,-6.59782844348003,3.794857772653013,0.9589494842769196,N < 100,5 k̂ > 0.70,1.603073815902949,-20.077102737193044,5.797229718797304,7.519801432465559e-16,sub-0052
0,0.0,0.0,,,4 k̂ > 0.70,1.8332159601770392,-18.999296936202093,4.20958228411589,0.6810581698786159,sub-0056
1,-0.18824693462899056,1.0642190463373347,0.5702015800175573,N < 100,4 k̂ > 0.70,1.260239530732763,-19.187543870831085,3.4205247631561275,0.3189418301213827,sub-0056
2,-0.5360387873509325,0.8324308859069355,0.7401940919711305,N < 100,2 k̂ > 0.70,1.3436175137444446,-19.535335723553032,3.670011654552637,3.5492781283308826e-15,sub-0056
3,-4.040127288117649,1.4792709663831654,0.9968444191478161,N < 100,3 k̂ > 0.70,1.4136853399385807,-23.039424224319745,3.4516462268643586,0.0,sub-0056
0,0.0,0.0,,,2 k̂ > 0.70,0.8160343437334227,-9.159958455247347,2.509725194683118,0.9999999999999971,sub-0057
1,-0.6237570412118982,1.1176997145806686,0.7116024287033782,N < 100,4 k̂ > 0.70,1.9425044600498313,-9.783715496459244,3.014738887332462,0.0,sub-0057
2,-3.893393632018742,1.7578744556897274,0.9866141431482948,N < 100,4 k̂ > 0.70,2.5846209417950567,-13.053352087266088,3.6442481703858776,3.549724971399871e-15,sub-0057
3,-9.746838668915467,4.079529894346913,0.9915575917596446,N < 100,,1.7444387939405162,-18.906797124162814,4.333855234806016,0.0,sub-0057
0,0.0,0.0,,,,1.921437079708197,-25.532010385697312,3.823509632961376,0.9999999999999998,sub-0058
1,-0.5711100831848768,0.7251459496681587,0.7845286446656934,N < 100,,2.1231760263005897,-26.10312046888219,3.725236233243981,0.0,sub-0058
2,-1.094611190279407,0.8074446351227349,0.912394499837419,N < 100,,1.9193006660966656,-26.626621575976717,4.013807308635987,3.2581778462008423e-16,sub-0058
3,-2.4545144348184404,2.0091551667070386,0.8890828209165154,N < 100,,1.7346826801391275,-27.98652482051575,3.495720056758108,6.938893903907228e-17,sub-0058
0,0.0,0.0,,,6 k̂ > 0.70,1.7028603312764103,-12.127418018742917,3.700221345946752,0.9999999999999988,sub-0059
