,participant_id,bp_intero_threshold,bp_extero_threshold,bp_intero_slope,sn_intero_threshold,sn_extero_threshold,sn_intero_slope,sn_extero_slope,wu_sensitivity,wu_mu_cardiac_prior,wu_sigma_cardiac_prior,wu_pi_cardiac_belief
0,sub-0019,7.308,2.211,8.269,7.339,2.19,5.371,5.469,0.814,116.167,4.339,0.506
1,sub-0022,-29.856,-1.999,10.141,-29.924,-2.001,9.792,2.144,0.267,43.287,3.008,0.398
2,sub-0023,-11.721,4.729,9.756,-11.757,4.737,7.377,5.503,0.238,60.056,1.346,4.236
3,sub-0024,4.367,1.8,24.708,4.366,1.785,24.315,5.733,0.383,88.305,7.659,1.304
4,sub-0025,-24.506,-7.328,12.31,-24.459,-7.326,8.251,7.734,0.153,49.638,0.883,6.104
5,sub-0026,-3.662,-2.38,14.379,-3.639,-2.429,13.662,4.004,0.256,60.96,3.767,3.031
6,sub-0027,-2.867,0.998,15.668,-2.901,0.963,15.253,3.537,0.792,64.159,13.609,0.188
7,sub-0028,-9.16,-3.176,13.623,-9.188,-3.197,10.278,7.398,0.329,60.634,2.136,4.023
8,sub-0031,-18.197,-0.891,11.906,-18.231,-0.858,9.215,6.288,0.44,59.47,2.385,1.531
9,sub-0032,1.357,-2.429,13.758,1.367,-2.46,11.575,6.102,0.81,91.282,11.222,0.407
10,sub-0034,-13.093,-4.467,20.218,-13.003,-4.485,18.908,6.238,0.721,38.857,9.564,0.063
11,sub-0035,-13.391,-7.166,11.465,-13.439,-7.139,6.509,8.775,0.491,37.831,2.035,1.296
12,sub-0037,-8.822,-2.232,15.596,-8.83,-2.174,12.974,7.128,0.157,59.683,1.082,4.821
13,sub-0038,-23.029,-1.275,12.137,-23.009,-1.168,6.84,9.605,0.264,53.455,1.2,3.744
14,sub-0039,-5.037,0.457,11.9,-5.093,0.373,8.172,7.607,0.896,59.946,11.917,0.511
15,sub-0042,-15.901,-3.78,10.366,-15.882,-3.82,6.25,7.541,0.332,49.376,1.393,2.527
16,sub-0044,-10.315,0.425,16.593,-10.357,0.431,15.744,5.365,0.585,42.598,6.448,0.163
17,sub-0045,6.808,2.504,7.616,6.775,2.539,6.864,2.733,0.794,112.799,5.858,0.248
18,sub-0046,-9.244,-5.751,12.232,-9.201,-5.862,5.93,12.266,0.169,65.337,0.886,6.765
19,sub-0047,-26.834,-3.965,26.14,-26.919,-3.994,25.955,5.624,0.327,33.48,9.533,0.023
